provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Sigala Barat Jaya
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Pekhidinen
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Kertimbang
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Ndauh Nitenggo
ACEH,KAB. ACEH TENGGARA,Bambel,Bambel Gabungan
ACEH,KAB. ACEH TENGGARA,Bambel,Kisam
ACEH,KAB. ACEH TENGGARA,Bambel,Lawe Hijo
ACEH,KAB. ACEH TENGGARA,Bambel,Pinding
ACEH,KAB. ACEH TENGGARA,Bambel,Terutung Megara Asli
ACEH,KAB. ACEH TENGGARA,Bambel,Biak Muli
ACEH,KAB. ACEH TENGGARA,Bambel,Kute Lang-Lang
ACEH,KAB. ACEH TENGGARA,Bambel,Pedesi
ACEH,KAB. ACEH TENGGARA,Bambel,Terutung Payung Hulu
ACEH,KAB. ACEH TENGGARA,Bambel,Terutung Payung Hilir
ACEH,KAB. ACEH TENGGARA,Bambel,Tualang Sembilar
ACEH,KAB. ACEH TENGGARA,Bambel,Kuning I
ACEH,KAB. ACEH TENGGARA,Bambel,Kuning II
ACEH,KAB. ACEH TENGGARA,Bambel,Cinta Damai
ACEH,KAB. ACEH TENGGARA,Bambel,Likat
ACEH,KAB. ACEH TENGGARA,Bambel,Rikit
ACEH,KAB. ACEH TENGGARA,Bambel,Bambel
ACEH,KAB. ACEH TENGGARA,Bambel,Lawe Kihing
ACEH,KAB. ACEH TENGGARA,Bambel,Terutung Seperai
ACEH,KAB. ACEH TENGGARA,Bambel,Kute Seri
ACEH,KAB. ACEH TENGGARA,Bambel,Kuta Antara
ACEH,KAB. ACEH TENGGARA,Bambel,Pulo Perengge
ACEH,KAB. ACEH TENGGARA,Bambel,Pulo Kendondong
ACEH,KAB. ACEH TENGGARA,Bambel,Pancakh Iman
ACEH,KAB. ACEH TENGGARA,Bambel,Biak Muli Baru
ACEH,KAB. ACEH TENGGARA,Bambel,Biak Muli Pantai Raja
ACEH,KAB. ACEH TENGGARA,Bambel,Biak Muli Sejahtera
ACEH,KAB. ACEH TENGGARA,Bambel,Lembah Haji
ACEH,KAB. ACEH TENGGARA,Bambel,Terutung PayungGabungan
ACEH,KAB. ACEH TENGGARA,Bambel,Lawe Hijo Metuah
ACEH,KAB. ACEH TENGGARA,Bambel,Ampera
ACEH,KAB. ACEH TENGGARA,Bambel,Tembilakh Mbakhu
ACEH,KAB. ACEH TENGGARA,Bambel,Kute Lang-Lang Bakhu
